項次,事業單位,行業別,災害類型,罹災人數,業主,工程名稱,場所-肇災處,地址,勞動檢查機構,發生日期,備註
32,邱德堂,C製造業-3400產業用機械設備維修及安裝業,爆炸,1,曾德寶,畜牧場攪拌槽槽體維修工程,於攪拌槽槽體,桃園市中壢區福田路460-1號,桃園市政府勞動檢查處,110/1/7,
33,大勝磚廠股份有限公司龜山工廠,C製造業-2322黏土建築材料製造業,被夾、被捲,1,無,無,大勝磚廠廠內之對滾輪機區,桃園市龜山區東萬壽路672號之1,桃園市政府勞動檢查處,110/2/2,
34,陳光治（即福臨居燒臘館）,I住宿及餐飲業-5611餐館,墜落、滾落,1,-,-,貝爾威勒電子股份有限公司,桃園市平鎮區平東路659巷31號,桃園市政府勞動檢查處,110/3/2,
35,許○○,F營造業-4390其他專門營造業,墜落、滾落,1,金勃有限公司,金勃有限公司二廠廠房屋頂拆除工程,屋頂,觀音區文林路261-1號,桃園市政府勞動檢查處,110/1/9,
36,李○○（即新銳工程行）,F營造業-4340建物完工裝修工程業,墜落、滾落,1,中國炭素工業股份有限公司,觀音二廠之牆面、天花板暨補強工程,於3.7公尺之隔間上使用合梯作業從邊緣開口墜落,桃園市觀音區經建一路46巷2號,桃園市政府勞動檢查處,110/3/9,
37,弘峻建設股份有限公司,F營造業-4390其他專門營造業,墜落、滾落,1,弘峻建設股份有限公司,弘峻建設股份有限公司幼獅段新建工程 ,A棟天井區R1FL,楊梅區永平路212號旁,桃園市政府勞動檢查處,110/3/13,
38,樺龍建設有限公司,L不動產業-6899未分類其他不動產業,墜落、滾落,1,樺龍建設有限公司,樺龍建設有限公司桃園市中壢區內厝段1111地號等2筆集合住宅新建工程,工區1樓施工構臺上墜落,桃園市中壢區高鐵南路3段與聖德路1段交叉口旁,桃園市政府勞動檢查處,110/4/22,
39,范益誠(即信又誠企業社),G批發及零售業-4691回收物料批發業,被撞,1,-,-,桃園市楊梅區和平路87巷19號隔壁巷內廢棄物回收廠內,桃園市楊梅區和平路87巷19號隔壁巷內廢棄物回收廠內,桃園市政府勞動檢查處,110/1/16,
40,憶泰營造股份有限公司,F營造業-4290其他土木工程業,墜落、滾落,1,陳○○、葉○○,桃園市八德區興豐段1668地號等1筆住宅新建工程,工區5樓結構體西北側外牆施工架工作臺,桃園市八德區長生路21巷6號,桃園市政府勞動檢查處,110/4/13,
41,祥發金屬工業股份有限公司,C製造業-3030汽車零件製造業,物體倒塌、崩塌,1,無,無,祥發公司觀音廠廠內廢料回收區,桃園市觀音區成功路2段933號,桃園市政府勞動檢查處,110/3/19,
42,高文樟（即文佑工程行）,F營造業-4340建物完工裝修工程業,墜落、滾落,1,余OO,余OO民宅屋頂修繕工程,屋頂、屋架、樑,桃園市復興區羅浮71之1號,桃園市政府勞動檢查處,110/5/7,
43,李00,F營造業-4331機電、電信及電路設備安裝業,墜落、滾落,1,展彥印刷企業有限公司,廠房修繕工程,於展彥印刷企業有限公司廠房2樓新設平臺墜落,桃園市八德區和平路704巷26號,桃園市政府勞動檢查處,110/5/15,
44,趙○○,S其他服務業-9640家事服務業,墜落、滾落,1,-,-,大門圍牆邊,桃園市大溪區介壽路561號,桃園市政府勞動檢查處,110/3/16,
45,和鑫服務股份有限公司,N支援服務業-8121建築物一般清潔服務業,墜落、滾落,1,大溪山莊住戶管理委員會,109年度大溪山莊景觀維護清潔服務工程,移動梯上墜落,大溪區向榮街15巷14號旁,桃園市政府勞動檢查處,110/6/22,
46,基甲建設有限公司,L不動產業-6700不動產開發業,墜落、滾落,1,基甲建設有限公司,桃園市觀音區廣福段1590地號等1筆新建工程,工區四樓樓梯間,桃園市觀音區大福路152巷17號旁,桃園市政府勞動檢查處,110/3/17,
47,翔林國際有限公司,G批發及零售業-4649其他機械器具批發業,感電,1,提姆沃克動物醫院,-,1樓手術室,桃園市中壢區龍岡路2段69號,桃園市政府勞動檢查處,110/3/23,
48,吳○○,G批發及零售業-4561家用電器批發業,墜落、滾落,1,溫○○,-,民宅3樓露台開口處墜落,桃園市桃園區新興街14巷11號,桃園市政府勞動檢查處,110/5/10,
49,-,G批發及零售業-4615金屬建材批發業,物體倒塌、崩塌,1,-,陽台雨遮施作作業,-,臺中市北屯區崇德十路1段383號,臺中市勞動檢查處,110/2/25,
50,元輝冷凍空調工程行,F營造業-4332冷凍、空調及管道工程業,感電,1,仙鹿製藥股份有限公司,冷氣空調檢修工程,六樓循環馬達發生感電,臺南市官田區二鎮里成功街47號,臺南市職安健康處,110/5/12,
51,大港建設股份有限公司,L不動產業-6700不動產開發業,墜落、滾落,1,無,大港建設股份有限公司6戶住宅、新建工程,高雄市鳥松區大同段261地號「大港建設股份有限 公司6戶住宅、新建工程」,高雄市鳥松區大同段261地號,高雄市政府勞工局勞動檢查處,110/1/20,
52,高OO,F營造業-4332冷凍、空調及管道工程業,墜落、滾落,1,陳OO,陳OO住宅新建工程,屋頂,高雄市路竹區太平路OOO巷OOO之O號,高雄市政府勞工局勞動檢查處,110/2/17,
53,齊裕營造股份有限公司,F營造業-4290其他土木工程業,墜落、滾落,1,潤隆建設股份有限公司,潤隆建設高雄福東案新建工程,電梯井,高雄市苓雅區三多二路與福德三路口,高雄市政府勞工局勞動檢查處,110/3/12,
54,天鵝堡營造股份有限公司,F營造業-4290其他土木工程業,物體倒塌、崩塌,2,鈜富開發股份有限公司,高雄市鼓山區青海段74地號等2筆新建工程,地下室筏基地梁,高雄市鼓山區青海段74地號,高雄市政府勞工局勞動檢查處,110/3/4,
55,信統工程有限公司,F營造業-4100建築工程業,墜落、滾落,1,珮維企業有限公司,-,廠房A棟西側上方屋頂墜落,高雄市大社區中華路14巷276-5號,高雄市政府勞工局勞動檢查處,110/3/26,
56,永森營造股份有限公司,F營造業,物體倒塌、崩塌,1,-,高雄華人匯B3-4F拆除清運工程,高雄市鼓山區裕誠路1691號4樓,高雄市鼓山區裕誠路1691號4樓,高雄市政府勞工局勞動檢查處,110/3/15,
57,克羽企業股份有限公司,C製造業-2549其他金屬加工處理業,被夾、被捲,1,中國鋼鐵股份有限公司,W372四號轉爐SKIRT拆裝工程,中國鋼鐵股份有限公司W3廠內,高雄市小港區中鋼路1號,高雄市政府勞工局勞動檢查處,110/4/19,
58,蔡OO,F營造業-4340建物完工裝修工程業,墜落、滾落,1,陳OO,高雄市鳳山區中山路OO巷OO號等3戶民宅整修工程,外牆施工架,高雄市鳳山區中山路70巷3號,高雄市政府勞工局勞動檢查處,110/6/16,
59,花蓮縣吉安鄉光華國民小學,P教育業-8520小學教育,墜落、滾落,1,花蓮縣吉安鄉光華國民小學,鋸樹作業,行政大樓外側之桃花心樹,花蓮縣吉安鄉光華二街180號,勞動部職業安全衛生署北區職業安全衛生中心,110/7/21,
60,年建營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,交通部高速公路局第一新建工程處,（109變使（准）129）司法新廈大樓外牆更新改善工程,第7層施工架,臺北市中正區博愛路131號,臺北市勞動檢查處,110/1/10,
61,宏喬營造有限公司,F營造業-4390其他專門營造業,墜落、滾落,1,國立屏東大學,110年屏師校區思源樓屋頂防漏工程,國立屏東大學屏師校區思源樓東北側屋頂,屏東市林森路1號,勞動部職業安全衛生署南區職業安全衛生中心,110/7/7,
62,英全化學工業股份有限公司全興二廠,C製造業-1841塑膠原料製造業,被撞,1,-,-,英全化學工業股份有限公司全興二廠,彰化縣伸港鄉工東一路5號,勞動部職業安全衛生署中區職業安全衛生中心,110/6/7,
63,瑞穎股份有限公司楊梅廠,C製造業-2599未分類其他金屬製品製造業,感電,1,無,無,塑膠射出區,桃園市楊梅區高榮路239巷190之3號,桃園市政府勞動檢查處,110/5/15,
64,全昊有限公司,G批發及零售業-4691回收物料批發業,墜落、滾落,1,無,混凝土運送工程,洗車區,桃園市觀音區經建五路10號,桃園市政府勞動檢查處,110/5/15,
65,高滿建設有限公司,L不動產業-6700不動產開發業,墜落、滾落,1,高滿建設有限公司,高雄市小港區廈莊段738-1地號等6筆新建工程,高雄市小港區廈莊段738-1地號等6筆新建工程工地(地下室),高雄市小港區廈莊段738-1地號,高雄市政府勞工局勞動檢查處,110/8/3,
66,欽大玻璃股份有限公司第二廠,C製造業-2399未分類其他非金屬礦物製品製造業,被夾、被捲,1,欽大玻璃股份有限公司,-,欽大玻璃股份有限公司第二廠玻璃AE磨邊機作業區。,雲林縣斗南鎮東明里成功路39-16號,勞動部職業安全衛生署中區職業安全衛生中心,110/6/8,
67,榮洲紡織股份有限公司,C製造業,墜落、滾落,1,-,-,染房區屋頂,彰化縣埤頭鄉興農村彰水路四段110號,勞動部職業安全衛生署中區職業安全衛生中心,110/7/3,
68,許OO,H運輸及倉儲業-4940汽車貨運業,墜落、滾落,1,許OO,無,養雞牧場,彰化縣竹塘鄉光明路新庄巷67號,勞動部職業安全衛生署中區職業安全衛生中心,110/6/19,
69,三井工程股份有限公司,F營造業-4100建築工程業,物體倒塌、崩塌,1,國泰人壽保險股份有限公司,國泰人壽土城沛陂段新建工程,地下1樓,土城區三民路2號旁,勞動部職業安全衛生署北區職業安全衛生中心,110/6/13,
70,簡○○,F營造業-4390其他專門營造業,被撞,1,新北市汐止區公所,汐止區道路路面養護及改善工程（南區開口契約）,新北市汐止區康寧街534巷33之3號前,新北市汐止區康寧街534巷33之3號前,新北市政府勞動檢查處,110/2/5,
71,瑞順元有限公司,C製造業-2512金屬模具製造業,物體飛落,1,-,-,固定式起重機下方,新北市樹林區保安街1段336巷3號,新北市政府勞動檢查處,110/1/3,
72,旺詮營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,富茂建設有限公司,富茂-鼎峰NO.7住宅新建工程,D2棟2樓樓梯間,臺中市神岡區東洲路105巷16號,勞動部職業安全衛生署中區職業安全衛生中心,110/6/29,
73,欣聯營造有限公司,F營造業-4210道路工程業,衝撞,1,彰化縣政府(工務處),109年度田中區地方小型工程開口契約,彰化縣田中鎮大社路一段702巷(B工區),彰化縣田中鎮大社路一段702巷,勞動部職業安全衛生署中區職業安全衛生中心,110/3/29,
74,魏○○,H運輸及倉儲業-4940汽車貨運業,物體倒塌、崩塌,1,俐煒機械工程有限公司,鋼構運輸作業,桃園市大園區潮音北路856號空地,桃園市大園區潮音北路856號,桃園市政府勞動檢查處,110/6/23,
75,阡富營造工程有限公司,F營造業-4100建築工程業,物體倒塌、崩塌,1,財團法人東海大學附屬高級中等學校,第三期校舍續建工程-行政教學大樓,5樓施工架吊料平臺倒崩塌致墜落,臺中市西屯區臺灣大道四段1727號,勞動部職業安全衛生署中區職業安全衛生中心,110/1/19,
76,承心科技室內裝修工程有限公司,F營造業-4331機電、電信及電路設備安裝業,墜落、滾落,1,日翔軟板科技股份有限公司,冷氣清潔工程,日翔軟板科技股份有限公司之停車場屋頂,桃園市桃園區興邦路34號,桃園市政府勞動檢查處,110/7/2,
77,國普混凝土工業股份有限公司,C製造業-2332預拌混凝土製造業,墜落、滾落,1,無,無,國普公司蘆竹廠砂石儲存倉之4樓砂倉,蘆竹區東溪路296號,桃園市政府勞動檢查處,110/6/29,
78,台灣電力股份有限公司輸變電工程處南區施工處,D電力及燃氣供應業-3510電力供應業,物體飛落,1,-,345kV天輪~龍潭山、海線#73~#75、#77~#82鐵塔改建工程,#81鐵塔處,苗栗縣獅潭鄉桂竹林段86-631地號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/22,
79,曾O村,F營造業-4340建物完工裝修工程業,感電,1,蔡O華,高雄市湖內區中正路二段OO號隔間工程,於2樓室內隔間工程感電,高雄市湖內區中正路二段56號,高雄市政府勞工局勞動檢查處,110/7/6,
80,久和營造工程股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,全陽建設股份有限公司,新店全陽大璽案新建工程(107店建字第00255號),墜落於A棟10樓A2戶天井區施工架遮斷板上,新北市新店區中央路與央北三路,勞動部職業安全衛生署北區職業安全衛生中心,110/4/9,
81,榮洲紡織股份有限公司,C製造業,墜落、滾落,1,-,-,染房區屋頂,彰化縣埤頭鄉興農村彰水路四段110號,勞動部職業安全衛生署中區職業安全衛生中心,110/7/3,
82,曾○○（即鈜匠企業社）,C製造業-2522金屬建築組件製造業,墜落、滾落,1,銀泰科技股份有限公司,「銀泰科技股份有限公司彰濱廠廢水處理工程」之環保設備工程之工作平台、樓梯、欄杆工程,銀泰科技股份有限公司彰濱廠A棟廢水處理區,彰化縣鹿港鎮工業西七路8、8之1號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/29,
83,德同營造股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,德邑建設股份有限公司,臺中市清水區武秀段1020-2地號等1筆新建工程,乙梯升降路1樓出入口處,臺中市清水區中清路九段與538巷口,勞動部職業安全衛生署中區職業安全衛生中心,110/7/2,
84,銓昌工業有限公司,F營造業-4310整地、基礎及結構工程業,墜落、滾落,1,力葉營造有限公司,機械設備拆除工程,彰化縣線西鄉彰濱西三路2號,彰化縣線西鄉彰濱西三路2號,勞動部職業安全衛生署中區職業安全衛生中心,110/7/17,
85,林OO,F營造業-4340建物完工裝修工程業,墜落、滾落,1,臻揚開發有限公司,南投市中興路791巷19號裝修工程,4樓天井區,南投市中興路791巷19號,勞動部職業安全衛生署中區職業安全衛生中心,110/6/8,
86,達茂營造股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,嘉辰興產有限公司,左營中正脊椎骨科醫院新建工程,第四層水平支撐,高雄市左營區文府路與重忠路口,高雄市政府勞工局勞動檢查處,110/9/15,
87,川樂科技工業股份有限公司,C製造業-2929未分類其他專用機械設備製造業,感電,1,林森之愛公寓大廈管理委員會,川樂科技工業股份有限公司所僱勞工劉俊佳發生感電災害致死,臺南市東區林森之愛公寓大廈電梯機房,東區林森之愛公寓大廈,勞動部職業安全衛生署南區職業安全衛生中心,110/8/16,
88,中興工程顧問股份有限公司,M專業、科學及技術服務業-7112工程服務及相關技術顧問業,墜落、滾落,1,臺東縣環境保護局,臺東縣廢棄物能資源中心效能提升統包工程委託專案管理暨施工監造服務,臺東縣垃圾焚化廠(臺東縣臺東市成都南路709號)東側戶外逃生梯處,臺東市成都南路709號,勞動部職業安全衛生署南區職業安全衛生中心,110/8/16,
89,慶欣欣鋼鐵股份有限公司,C製造業-2411鋼鐵冶鍊業,墜落、滾落,1,慶欣欣鋼鐵股份有限公司,-,-,彰化縣伸港鄉溪底村工西二路2號,勞動部職業安全衛生署中區職業安全衛生中心,110/7/5,
90,協勵營造股份有限公司,F營造業-4390其他專門營造業,物體倒塌、崩塌,1,廖OO、何OO、林OO,廖OO等三人幼稚園拆除工程,建築物3樓結構體,臺中市北屯區梅川東路五段,勞動部職業安全衛生署中區職業安全衛生中心,110/2/3,
91,吉輝工業股份有限公司,C製造業-2934機械傳動設備製造業,物體飛落,1,吉輝工業股份有限公司,無,吉輝工業有限公司 地址：  臺南市安南區新順里開安一街8巷10號之車床作業場所, 臺南市安南區新順里開安一街8巷10號,勞動部職業安全衛生署南區職業安全衛生中心,110/8/31,
92,楊○旋(凱旋企業社),G批發及零售業-4615金屬建材批發業,墜落、滾落,1,中法興物流股份有限公司蘆竹倉,重型貨架拆裝工程,中法興物流有限公司蘆竹倉倉庫之堆高機貨叉上墜落,桃園市蘆竹區長興路2段36號,桃園市政府勞動檢查處,110/8/13,
93,彰濱金屬有限公司,C製造業-2522金屬建築組件製造業,墜落、滾落,1,昌謚工業股份有限公司,外勞宿舍-防火外牆浪板工程,彰化縣線西鄉溝內村彰濱東三路12號(昌謚工業股份有限公司),彰化縣線西鄉溝內村彰濱東三路12號,勞動部職業安全衛生署中區職業安全衛生中心,110/4/9,
94,宥銨電信科技有限公司,F營造業-4331機電、電信及電路設備安裝業,物體倒塌、崩塌,1,中華電信股份有限公司台灣北區電信分公司新竹營運處,AFNXXJ951D新竹109年纜線遷移積點工程,新竹縣竹北市新港三街二段76號民宅前水泥桿柱,新竹縣竹北市新港三街二段76號民宅前水泥桿柱,勞動部職業安全衛生署北區職業安全衛生中心,110/1/1,
95,台灣宅配通股份有限公司,H運輸及倉儲業-4940汽車貨運業,衝撞,1,台灣宅配通股份有限公司,-,桃園市龜山區大同路1446巷121-1號住宅門口,桃園市龜山區大同路1446巷121-1號,桃園市政府勞動檢查處,110/2/19,
96,豐譽營造股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,台灣糖業股份有限公司台南區處,沙崙智慧綠能循環住宅園區新建工程(土建部分),台南市歸仁區沙崙智慧綠能循環住宅新建工程D棟1樓,台南市歸仁區武東段150地號,勞動部職業安全衛生署南區職業安全衛生中心,110/8/25,
97,大陸工程股份有限公司,F營造業-4220公用事業設施工程業,物體飛落,1,桃園市政府捷運工程局,桃園捷運綠線GC01標高架段土建統包工程),墩柱編號：P13a-30旁吊運鐵板作業場所,桃園市南崁路二段上,勞動部職業安全衛生署北區職業安全衛生中心,110/4/25,
98,宇淞設計有限公司,F營造業-4340建物完工裝修工程業,感電,1,宇淞設計有限公司,宇淞設計有限公司住宅新建工程,2樓邊柱旁,臺中市太平區中山路一段181巷14號旁,勞動部職業安全衛生署中區職業安全衛生中心,110/9/13,
99,永準營造股份有限公司,F營造業-4100建築工程業,墜落、滾落,1,許OO,臺中市太平區振福路OO巷OO號住宅整修工程,1樓雨遮屋頂,臺中市太平區振福路OO巷OO號,勞動部職業安全衛生署中區職業安全衛生中心,110/8/12,
100,蕭○○（即祥和企業社）,C製造業-2422鋁鑄造業,其他交通事故,1,-,-,廠區自設道路,新北市三重區光復路2段74號,新北市政府勞動檢查處,110/4/14,
101,中鋼運通股份有限公司,H運輸及倉儲業-5232海洋貨運承攬業,墜落、滾落,1,中聯資源股份有限公司,-,起重機保養平台,新北市八里區臺北港港外,新北市政府勞動檢查處,110/8/21,
102,蔡o和,F營造業-4100建築工程業,墜落、滾落,1,康o松,老屋整修之磚牆工程,施工架工作臺旁梯子,苗栗縣公館鄉南河村南河段787-1地號,勞動部職業安全衛生署中區職業安全衛生中心,110/8/14,
103,南組企業有限公司,F營造業-4290其他土木工程業,墜落、滾落,1,中鼎工程股份有限公司,台積電南科再生水廠興建工程,地下一樓,臺南市善化區南科九路20號旁,南部科學園區管理局,110/2/7,
104,瀚宇彩晶南科TFT-LCD三廠,C製造業-2649其他光電材料及元件製造業,被夾、被捲,1,瀚宇彩晶股份有限公司,塗佈機台進行切換線維修作業,1樓塗佈區,台南市新市區南科二路35號,南部科學園區管理局,110/2/24,
105,永豐餘工業用紙股份有限公司新屋廠,C製造業-1512紙張製造業,被夾、被捲,1,-,-,永豐餘工業用紙股份有限公司新屋廠,桃園市新屋區永福路281號、281-1號、306號,勞動部職業安全衛生署北區職業安全衛生中心,110/3/26,
106,立川機電工業有限公司,C製造業-2939其他通用機械設備製造業,被夾、被捲,1,大全彩藝工業股份有限公司新竹工廠,-,升降機（編號：33EUA1022）升降路,新竹縣湖口鄉光復路28號,勞動部職業安全衛生署北區職業安全衛生中心,110/1/12,
107,遠碩營造股份有限公司,F營造業-4290其他土木工程業,墜落、滾落,1,新碩建設股份有限公司,（107建020）新碩華悅新建工程,1樓東側圍牆施工架上墜落、滾落,萬華區柳州街7-27號,臺北市勞動檢查處,110/7/10,
108,正宸營造有限公司,F營造業-4100建築工程業,墜落、滾落,1,亞加倍工業股份有限公司,亞加倍工業股份有限公司廠辦新建工程,屋頂鋼梁,燕巢區安北路132號西側,高雄市政府勞工局勞動檢查處,110/10/5,
109,澎湖縣湖西鄉公所,O公共行政及國防；強制性社會安全-8311政府機關,被撞,1,-,-,澎湖縣湖西鄉南寮村湖西自行車道旁之無名產業道路,澎湖縣湖西鄉南寮村湖西自行車道旁之無名產業道路,勞動部職業安全衛生署南區職業安全衛生中心,110/10/4,
